year,sst_anomaly
1982,-0.24345840234309432
1983,-0.13851008079169935
1984,-0.2644245947400729
1985,-0.27760573228200275
1986,-0.2163340051968892
1987,-0.10586156362357237
1988,-0.13846131041645998
1989,-0.1590213192005952
1990,-0.030715989414602508
1991,-0.10276958815908678
1992,-0.22077172622084615
1993,-0.20370494574308393
1994,-0.18423604965209958
1995,-0.11155273291903234
1996,-0.18543573406835392
1997,-0.029496569652110324
1998,0.04592547808230543
1999,-0.15045716923971966
2000,-0.12446359700212872
2001,0.007178134808782475
2002,0.017250872876805566
2003,0.0402660222413639
2004,0.030421015728885916
2005,0.045159043356155316
2006,0.027980526055519733
2007,-0.05931128648808221
2008,-0.07555715254663176
2009,0.0398232810354481
2010,0.06705950815618657
2011,-0.051105839665979126
2012,0.018921447141716886
2013,0.06234217528253791
2014,0.13441771206756428
2015,0.22315700165927407
2016,0.26453223451972
2017,0.21000307798385617
2018,0.14272316948821143
2019,0.2689495285352071
2020,0.2606079690158367
2021,0.14940933044999835
2022,0.1492116507142782
2023,0.3999254989127318
2024,0.46474295606215793
